State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Areas,Sales Channel,Vehicle Size
Nevada,F,High School or Below,"œ2,816.57",41228,71,1/0,Personal Auto,Four-Door Car,340.80,central ,Branch,Small
Washington,M,Bachelors,"œ5,029.30",40113,67,3/1,Corporate Auto,Two-Door Car,262.05,east,Call Center,Large
Oregon,F,College,"œ3,444.97",0,91,1/0,Special Auto,Four-Door Car,596.05,north,Web,Medsize
California,F,Bachelor,"œ2,859.41",51790,71,1/0,Personal Auto,Four-Door Car,340.80,west ,Agent,Medsize
California,M,High School or Below,"œ2,692.06",92593,68,1/0,Corporate Auto,Four-Door Car,8.44,west ,Web,Large
California,M,High School or Below,"œ11,431.73",28657,100,1/0,Personal Auto,SUV,588.74,west ,Agent,Medsize
Oregon,M,High School or Below,"œ7,635.88",30262,98,1/1,Personal Auto,Four-Door Car,499.23,north,Agent,Medsize
Oregon,F,Master,"œ9,805.83",47197,81,1/0,Corporate Auto,Four-Door Car,76.11,north,Branch,Medsize
California,F,Bachelor,"œ6,803.62",0,94,1/0,Personal Auto,Four-Door Car,451.20,west ,Branch,Small
Oregon,F,Bachelor,"œ7,107.66",0,61,1/0,Personal Auto,Four-Door Car,541.56,north,Call Center,Medsize
Oregon,F,High School or Below,"œ4,735.18",0,134,1/0,Personal Auto,SUV,964.80,north,Agent,Medsize
Arizona,M,College,"œ6,874.33",22093,87,1/0,Corporate Auto,Two-Door Car,616.75,central ,Agent,Medsize
Arizona,M,College,"œ2,411.26",54483,61,1/0,Personal Auto,Two-Door Car,292.80,central ,Branch,Small
Arizona,F,College,"œ2,416.54",18944,63,1/0,Personal Auto,Four-Door Car,125.27,central ,Branch,Large
Oregon,F,Bachelor,"œ23,981.54",84365,66,1/0,Personal Auto,Four-Door Car,316.80,north,Call Center,Medsize
Arizona,M,College,"œ4,692.17",0,64,1/0,Personal Auto,Four-Door Car,137.17,central ,Branch,Medsize
California,F,High School or Below,"œ3,600.93",25147,101,1/0,Corporate Auto,SUV,694.60,west ,Call Center,Large
Nevada,M,High School or Below,"œ2,665.22",14315,71,1/0,Personal Auto,Four-Door Car,511.20,central ,Agent,Small
Arizona,F,Master,"œ7,666.52",87864,94,1/0,Personal Auto,Two-Door Car,421.46,central ,Call Center,Medsize
California,M,High School or Below,"œ16,675.90",57844,85,1/1,Personal Auto,Four-Door Car,408.00,west ,Agent,Medsize
Oregon,F,High School or Below,"œ4,550.86",17913,116,1/0,Personal Auto,Four-Door Car,556.80,north,Web,Medsize
Arizona,F,High School or Below,"œ11,763.94",28806,99,1/0,Special Auto,Four-Door Car,475.20,central ,Branch,Medsize
California,M,High School or Below,"œ13,742.54",90343,175,1/0,Personal Auto,SUV,833.07,west ,Branch,Medsize
Oregon,F,Master,"œ16,138.42",79041,199,1/0,Personal Auto,Luxury SUV,419.26,north,Branch,Small
Washington,M,Bachelor,"œ7,298.58",74069,63,2/1,Personal Auto,Two-Door Car,275.52,east,Call Center,Medsize
California,M,College,"œ6,673.74",85019,167,1/0,Personal Auto,Sports Car,801.60,west ,Agent,Medsize
California,F,High School or Below,"œ7,782.13",70059,194,1/0,Personal Auto,Luxury SUV,253.74,west ,Branch,Small
California,F,College,"œ19,393.21",70503,164,1/1,Corporate Auto,SUV,41.05,west ,Agent,Medsize
California,M,Bachelor,"œ3,974.14",0,117,1/0,Personal Auto,SUV,561.60,west ,Branch,Large
Oregon,M,Bachelor,"œ4,105.58",39492,105,1/0,Personal Auto,SUV,756.00,north,Branch,Medsize
Arizona,M,College,"œ2,308.47",0,68,1/0,Corporate Auto,Four-Door Car,489.60,central ,Agent,Medsize
Arizona,M,Bachelor,"œ5,372.91",50405,70,1/1,Personal Auto,Four-Door Car,7.07,central ,Web,Medsize
Oregon,F,Doctor,"œ5,508.32",96021,68,1/0,Personal Auto,Two-Door Car,315.00,north,Agent,Small
Oregon,M,High School or Below,"œ2,398.33",0,65,1/0,Personal Auto,Two-Door Car,422.95,north,Agent,Medsize
California,M,High School or Below,"œ3,728.83",0,105,1/0,Personal Auto,Four-Door Car,756.00,west ,Branch,Medsize
Oregon,M,College,"œ2,758.50",65794,69,1/1,Personal Auto,Four-Door Car,277.27,north,Call Center,Medsize
Oregon,M,Bachelor,"œ3,703.93",21975,95,1/0,Corporate Auto,Four-Door Car,456.00,north,Branch,Medsize
California,M,High School or Below,"œ9,372.84",0,126,1/0,Personal Auto,SUV,604.80,west ,Web,Medsize
Oregon,F,Bachelor,"œ4,991.58",56649,125,1/0,Special Auto,SUV,780.09,north,Call Center,Small
Washington,F,Master,"œ5,039.87",35984,128,3/1,Personal Auto,SUV,275.58,east,Branch,Medsize
California,M,Bachelor,"œ2,759.98",92296,69,1/0,Corporate Auto,Two-Door Car,331.20,west ,Agent,Medsize
Oregon,F,Bachelor,"œ7,993.00",39448,103,3/1,Personal Auto,Four-Door Car,66.02,north,Agent,Medsize
California,F,Bachelor,"œ5,235.57",71794,131,1/0,Personal Auto,SUV,457.47,west ,Agent,Medsize
California,F,High School or Below,"œ2,633.01",21861,69,1/0,Personal Auto,Four-Door Car,348.28,west ,Agent,Small
Oregon,F,College,"œ2,764.80",31591,72,4/1,Corporate Auto,Four-Door Car,240.24,north,Web,Small
Arizona,F,Bachelor,"œ8,084.85",60662,68,1/0,Special Auto,Two-Door Car,326.40,central ,Branch,Medsize
California,F,College,"œ2,685.18",20608,73,1/0,Personal Auto,Four-Door Car,350.40,west ,Agent,Medsize
California,F,Master,"œ12,208.12",21331,103,1/0,Personal Auto,SUV,419.06,west ,Branch,Medsize
Arizona,F,College,"œ20,090.44",0,66,1/1,Corporate Auto,Four-Door Car,252.15,central ,Agent,Medsize
Washington,M,Master,"œ5,133.41",53390,6464,1/0,Personal Auto,Four-Door Car,279.00,east,Agent,Medsize
Oregon,M,Doctor,"œ2,491.32",36631,62,1/0,Corporate Auto,Four-Door Car,67.53,north,Branch,Medsize
California,M,High School or Below,"œ6,314.60",0,87,1/0,Personal Auto,Four-Door Car,417.60,west ,Agent,Medsize
Oregon,M,College,"œ16,229.65",26030,139,1/1,Corporate Auto,Sports Car,667.20,north,Call Center,Medsize
Nevada,M,College,"œ5,161.79",0,70,1/0,Personal Auto,Four-Door Car,469.49,central ,Web,Medsize
Nevada,M,Bachelor,"œ3,982.27",0,113,1/0,Personal Auto,SUV,542.40,central ,Call Center,Medsize
Arizona,M,Bachelor,"œ13,473.19",25302,70,1/1,Personal Auto,Four-Door Car,336.00,central ,Branch,Small
Washington,F,Master,"œ2,778.32",66030,69,1/1,Personal Auto,Four-Door Car,282.15,east,Web,Medsize
Oregon,M,High School or Below,"œ8,276.44",0,82,1/0,Personal Auto,Four-Door Car,590.40,north,Agent,Medsize
Arizona,M,Bachelor,"œ14,349.86",73222,180,1/0,Personal Auto,SUV,821.52,central ,Call Center,Medsize
California,F,College,"œ5,878.20",22061,74,1/0,Personal Auto,Four-Door Car,355.20,west ,Branch,Medsize
Arizona,F,High School or Below,"œ2,666.05",86321,66,1/0,Personal Auto,Four-Door Car,316.80,central ,Branch,Medsize
Oregon,M,Bachelor,"œ5,345.68",54668,68,1/1,Personal Auto,Four-Door Car,326.40,north,Web,Medsize
Arizona,F,High School or Below,"œ4,777.12",0,62,1/0,Personal Auto,Four-Door Car,297.60,central ,Agent,Medsize
California,M,High School or Below,"œ16,973.74",69497,142,1/0,Personal Auto,SUV,92.29,west ,Agent,Medsize
Oregon,M,High School or Below,"œ2,518.11",86617,63,1/0,Personal Auto,Four-Door Car,188.33,north,Branch,Medsize
Nevada,F,Master,"œ19,160.99",22705,239,1/0,Personal Auto,Luxury SUV,1294.70,central ,Call Center,Medsize
Washington,F,High School or Below,"œ32,864.40",90783,104,2/1,Personal Auto,SUV,285.75,east,Agent,Small
Oregon,M,Bachelor,"œ3,964.81",88410,99,1/0,Corporate Auto,Four-Door Car,475.20,north,Web,Small
California,F,Bachelor,"œ4,911.77",0,69,1/0,Personal Auto,Four-Door Car,496.80,west ,Agent,Medsize
Oregon,F,College,"œ7,805.31",21073,106,1/1,Personal Auto,SUV,508.80,north,Branch,Medsize
Arizona,F,College,"œ7,200.66",0,66,1/0,Personal Auto,Four-Door Car,316.80,central ,Agent,Small
Oregon,M,College,"œ5,389.50",66429,136,1/0,Personal Auto,Sports Car,57.71,north,Branch,Medsize
California,F,Doctor,"œ3,241.31",66889,80,1/0,Personal Auto,Four-Door Car,294.32,west ,Branch,Small
California,M,Bachelor,"œ5,528.21",36088,72,1/0,Corporate Auto,Four-Door Car,345.60,west ,Web,Large
Washington,M,Master,"œ2,993.02",0,80,1/0,Corporate Auto,Four-Door Car,286.12,east,Call Center,Medsize
Arizona,M,Bachelor,"œ7,076.65",0,68,1/0,Corporate Auto,Two-Door Car,489.60,central ,Branch,Medsize
California,F,College,"œ3,700.39",17557,96,1/0,Personal Auto,Four-Door Car,666.72,west ,Agent,Medsize
California,F,College,"œ5,328.84",81064,70,4/1,Personal Auto,Two-Door Car,42.24,west ,Agent,Large
Nevada,F,High School or Below,"œ4,838.88",0,66,1/0,Personal Auto,Four-Door Car,700.33,central ,Web,Medsize
Washington,F,Master,"œ3,417.21",42526,86,1/0,Personal Auto,Two-Door Car,287.54,east,Call Center,Medsize
California,F,Doctor,"œ7,879.93",45703,98,1/0,Personal Auto,Two-Door Car,470.40,west ,Call Center,Medsize
California,F,Bachelor,"œ7,869.43",40036,65,1/0,Personal Auto,Four-Door Car,48.83,west ,Web,Medsize
California,M,Bachelor,"œ2,586.81",0,71,1/0,Personal Auto,Four-Door Car,191.64,west ,Branch,Large
Arizona,M,High School or Below,"œ7,286.79",65870,61,1/1,Personal Auto,Four-Door Car,202.85,central ,Branch,Small
California,F,Bachelor,"œ11,797.99",91469,100,2/1,Personal Auto,SUV,418.86,west ,Agent,Medsize
California,M,High School or Below,"œ9,386.75",42090,119,1/0,Corporate Auto,SUV,203.35,west ,Agent,Medsize
Oregon,F,Doctor,"œ6,308.92",21368,79,1/0,Corporate Auto,Four-Door Car,4.61,north,Branch,Medsize
Washington,F,Bachelors,"œ8,609.16",79090,107,1/0,Personal Auto,SUV,289.04,east,Branch,Medsize
Oregon,F,Bachelor,"œ15,428.01",33879,98,1/0,Corporate Auto,Two-Door Car,470.40,north,Web,Small
Arizona,M,High School or Below,"œ5,630.79",72874,70,1/0,Special Auto,Four-Door Car,336.00,central ,Agent,Medsize
California,M,High School or Below,"œ18,131.19",0,82,1/1,Personal Auto,Four-Door Car,393.60,west ,Agent,Small
California,F,Bachelor,"œ8,087.22",0,110,1/0,Personal Auto,Two-Door Car,550.83,west ,Agent,Medsize
Arizona,M,College,"œ18,453.58",72215,66,1/0,Personal Auto,Four-Door Car,247.91,central ,Web,Large
California,F,Bachelor,"œ5,217.51",39854,66,1/0,Corporate Auto,Two-Door Car,261.93,west ,Agent,Medsize
Oregon,M,College,"œ4,835.78",36655,61,1/0,Personal Auto,Four-Door Car,295.22,north,Agent,Medsize
Oregon,F,High School or Below,"œ5,597.13",37995,139,1/0,Personal Auto,SUV,667.20,north,Agent,Medsize
California,F,High School or Below,"œ8,920.46",40867,112,1/0,Corporate Auto,Two-Door Car,537.60,west ,Branch,Medsize
Oregon,F,Bachelor,"œ5,995.41",28804,78,1/0,Personal Auto,Two-Door Car,76.03,north,Agent,Medsize
California,F,High School or Below,"œ38,496.95",48409,124,1/0,Special Auto,SUV,345.21,west ,Agent,Small
California,M,High School or Below,"œ8,382.63",19683,117,1/1,Personal Auto,Sports Car,561.60,west ,Agent,Small
Washington,NA,College,"œ2,443.67",92834,61,1/0,Special Auto,Four-Door Car,292.80,east,Agent,Small
Washington,F,High School or Below,"œ2,472.25",62006,61,1/0,Personal Auto,Four-Door Car,292.80,east,Agent,Medsize
California,F,High School or Below,"œ5,405.52",67241,68,1/1,Personal Auto,Two-Door Car,5.67,west ,Agent,Medsize
California,M,High School or Below,"œ9,352.48",75436,78,1/0,Personal Auto,Four-Door Car,9.75,west ,Branch,Medsize
Arizona,F,College,"œ4,339.87",91761,109,2/1,Personal Auto,SUV,779.05,central ,Agent,Medsize
California,F,College,"œ17,723.76",25771,222,1/0,Personal Auto,Luxury SUV,1253.98,west ,Agent,Medsize
Oregon,M,College,"œ7,507.46",60920,64,1/0,Personal Auto,Two-Door Car,231.20,north,Agent,Small
Washington,F,College,"œ6,048.57",0,61,3/1,Corporate Auto,Four-Door Car,292.80,east,Call Center,Medsize
Washington,F,High School or Below,"œ19,014.48",29822,61,1/0,Personal Auto,Two-Door Car,292.80,east,Call Center,Medsize
Arizona,M,College,"œ10,080.37",60944,130,2/1,Personal Auto,SUV,623.51,central ,Agent,Medsize
California,F,High School or Below,"œ6,503.40",22081,84,1/0,Personal Auto,Two-Door Car,451.67,west ,Call Center,Medsize
Washington,F,College,"œ2,487.73",67282,62,1/0,Personal Auto,Two-Door Car,297.60,east,Web,Medsize
California,F,College,"œ4,620.39",0,130,1/0,Personal Auto,SUV,936.00,west ,Call Center,Small
Arizona,M,High School or Below,"œ2,471.53",95697,61,1/0,Personal Auto,Two-Door Car,114.27,central ,Agent,Medsize
Oregon,F,College,"œ6,494.24",15300,85,1/0,Personal Auto,Four-Door Car,408.00,north,Branch,Medsize
Washington,M,High School or Below,"œ2,504.91",88264,62,1/0,Personal Auto,Two-Door Car,297.60,east,Branch,Large
Nevada,F,College,"œ4,904.89",12902,139,1/0,Personal Auto,Sports Car,667.20,central ,Agent,Small
Arizona,M,High School or Below,"œ4,802.48",29809,61,1/0,Personal Auto,Four-Door Car,365.31,central ,Agent,Medsize
Nevada,M,High School or Below,"œ7,955.77",0,74,1/0,Personal Auto,Four-Door Car,355.20,central ,Call Center,Small
Oregon,M,High School or Below,"œ6,941.90",0,96,1/0,Personal Auto,Four-Door Car,460.80,north,Branch,Medsize
Oregon,M,Bachelor,"œ8,382.48",25998,71,1/0,Personal Auto,Four-Door Car,791.88,north,Agent,Medsize
Oregon,F,Doctor,"œ3,536.43",28248,90,1/0,Personal Auto,Four-Door Car,634.39,north,Branch,Medsize
California,F,College,"œ3,244.82",68103,82,1/0,Personal Auto,Two-Door Car,277.80,west ,Branch,Medsize
California,F,High School or Below,"œ7,611.21",0,103,1/0,Special Auto,Four-Door Car,741.60,west ,Web,Medsize
Oregon,F,Doctor,"œ4,505.40",81079,111,1/0,Special Auto,SUV,134.22,north,Branch,Small
Nevada,F,Master,"œ2,445.84",22732,62,1/0,Personal Auto,Four-Door Car,15.62,central ,Branch,Medsize
Nevada,F,High School or Below,"œ16,477.77",49825,70,3/1,Corporate Auto,Two-Door Car,336.00,central ,Agent,Small
Oregon,F,College,"œ3,546.40",0,103,1/0,Personal Auto,SUV,621.96,north,Branch,Small
Nevada,M,High School or Below,"œ4,277.27",77265,107,1/0,Personal Auto,SUV,513.60,central ,Agent,Small
California,M,High School or Below,"œ4,784.77",0,72,1/0,Corporate Auto,Four-Door Car,779.63,west ,Web,Medsize
California,M,College,"œ7,572.24",12876,107,2/1,Corporate Auto,Four-Door Car,425.96,west ,Branch,Medsize
Arizona,M,Bachelor,"œ11,760.88",36431,99,1/0,Personal Auto,Two-Door Car,513.25,central ,Branch,Medsize
Oregon,M,High School or Below,"œ3,933.81",25927,103,1/0,Personal Auto,SUV,674.97,north,Branch,Medsize
Nevada,F,Bachelor,"œ5,700.76",26811,72,1/0,Personal Auto,Two-Door Car,465.76,central ,Call Center,Medsize
Oregon,F,High School or Below,"œ3,498.63",41711,90,1/0,Personal Auto,Four-Door Car,351.29,north,Agent,Medsize
Arizona,F,College,"œ5,768.09",35091,74,1/0,Corporate Auto,Two-Door Car,418.93,central ,Call Center,Medsize
Arizona,F,Bachelor,"œ6,361.95",0,87,1/0,Corporate Auto,Four-Door Car,417.60,central ,Agent,Medsize
Oregon,F,High School or Below,"œ6,503.40",22081,84,1/0,Personal Auto,Two-Door Car,451.67,north,Call Center,Medsize
Washington,M,High School or Below,"œ4,935.19",29560,62,1/0,Personal Auto,Four-Door Car,297.60,east,Agent,Medsize
Oregon,M,College,"œ5,785.22",31320,72,1/0,Personal Auto,Four-Door Car,293.87,north,Branch,Medsize
Oregon,M,High School or Below,"œ5,619.69",0,153,1/0,Personal Auto,SUV,1027.00,north,Branch,Small
Oregon,M,Doctor,"œ2,599.29",33947,66,1/1,Personal Auto,Four-Door Car,192.21,north,Agent,Medsize
California,F,High School or Below,"œ6,732.97",0,62,1/0,Personal Auto,Two-Door Car,446.40,west ,Web,Medsize
California,F,College,"œ18,321.87",21189,66,1/0,Personal Auto,Two-Door Car,316.80,west ,Agent,Small
Washington,M,Bachelors,"œ2,300.69",25905,63,1/0,Personal Auto,Four-Door Car,302.40,east,Agent,Medsize
Oregon,M,High School or Below,"œ4,002.86",0,114,1/0,Personal Auto,SUV,820.80,north,Web,Small
Oregon,F,Bachelor,"œ8,621.00",44988,108,1/0,Corporate Auto,Two-Door Car,518.40,north,Agent,Medsize
Oregon,F,College,"œ10,388.99",33432,90,1/0,Corporate Auto,Two-Door Car,161.42,north,Agent,Small
Oregon,F,Bachelor,"œ8,427.17",46503,215,1/1,Personal Auto,Luxury SUV,1032.00,north,Call Center,Large
California,M,Bachelor,"œ7,007.27",0,101,1/0,Corporate Auto,SUV,973.79,west ,Agent,Small
Oregon,F,Master,"œ5,176.58",23636,65,1/0,Personal Auto,Four-Door Car,81.45,north,Agent,Small
Oregon,M,College,"œ5,389.50",66429,136,1/0,Personal Auto,Sports Car,57.71,north,Web,Medsize
Washington,F,College,"œ4,700.01",11417,63,1/0,Personal Auto,Two-Door Car,302.40,east,Branch,Medsize
Oregon,F,Bachelor,"œ4,434.94",58082,112,1/1,Personal Auto,SUV,103.02,north,Branch,Medsize
Arizona,F,Bachelor,"œ14,010.53",36523,71,1/0,Personal Auto,Four-Door Car,101.35,central ,Call Center,Medsize
Nevada,M,Bachelor,"œ12,350.06",54710,103,1/0,Personal Auto,Two-Door Car,294.06,central ,Call Center,Small
California,F,High School or Below,"œ8,161.58",73466,102,1/1,Personal Auto,SUV,204.74,west ,Branch,Small
Oregon,F,Bachelor,"œ11,009.13",51643,283,1/0,Corporate Auto,Luxury Car,1358.40,north,Call Center,Small
Arizona,M,College,"œ8,717.05",83846,74,3/1,Personal Auto,Four-Door Car,355.20,central ,Branch,Medsize
Oregon,M,High School or Below,"œ5,917.47",0,169,1/0,Personal Auto,SUV,1207.08,north,Branch,Medsize
California,M,Bachelor,"œ2,503.66",53338,63,1/1,Personal Auto,Four-Door Car,35.45,west ,Agent,Medsize
Washington,NA,Bachelor,"œ5,018.89",54500,63,1/0,Corporate Auto,Two-Door Car,302.40,east,Agent,Small
Oregon,M,College,"œ4,330.39",60475,107,1/0,Personal Auto,Four-Door Car,513.60,north,Agent,Small
California,M,College,"œ10,487.74",30658,89,1/0,Personal Auto,Four-Door Car,441.76,west ,Call Center,Medsize
Arizona,M,Bachelor,"œ3,567.50",0,102,1/0,Corporate Auto,SUV,660.43,central ,Agent,Medsize
Oregon,F,Bachelor,"œ19,896.42",60420,248,1/0,Personal Auto,Luxury SUV,632.94,north,Agent,Medsize
Oregon,M,Bachelor,"œ21,423.64",0,65,1/0,Personal Auto,Two-Door Car,312.00,north,Web,Small
Washington,M,College,"œ6,948.33",40598,91,1/0,Personal Auto,Four-Door Car,302.79,east,Call Center,Medsize
California,F,Doctor,"œ3,515.83",15144,90,1/0,Personal Auto,Four-Door Car,372.65,west ,Branch,Small
California,M,Bachelor,"œ12,036.62",44428,104,1/0,Personal Auto,SUV,499.20,west ,Web,Large
California,M,College,"œ3,609.80",58297,97,5/1,Special Auto,Four-Door Car,647.04,west ,Branch,Large
Oregon,F,Bachelor,"œ17,732.46",42191,74,1/1,Special Auto,Two-Door Car,68.65,north,Agent,Small
Nevada,M,Master,"œ8,509.85",26057,74,1/0,Personal Auto,Four-Door Car,523.89,central ,Agent,Small
